Drug,Brand name,Species,Use,Notes,Source URL
AzoFlora for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/azoflora-for-dogs.html
B ComplexVET Soft Chews,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/b-complexvet-soft-chews.html
Bach Flowers for Pets Consolation (Canada),,"Dog, Cat, Horse",Veterinary health product to help maintain emotional balance.,Do not administer directly orally to cats but add to drinking water. Do not use in immature animals or pregnant or lactating females. Remedy of flower essences.,https://www.drugs.com/vet/bach-flowers-for-pets-consolation-can.html
Bach Flowers for Pets Courage (Canada),,"Dog, Cat, Horse",Veterinary health product to help maintain emotional balance.,Do not administer directly orally to cats but add to drinking water. Do not use in immature animals or pregnant or lactating females. Remedy of flower essences.,https://www.drugs.com/vet/bach-flowers-for-pets-courage-can.html
Bach Flowers for Pets Harmony (Canada),,"Dog, Cat, Horse",Veterinary health product to help maintain emotional balance.,Do not administer directly orally to cats but add to drinking water. Do not use in immature animals or pregnant or lactating females. Do not use in animals with haemostatic disorders unless advised otherwise from a veterinarian. Remedy of flower essences.,https://www.drugs.com/vet/bach-flowers-for-pets-harmony-can.html
Bach Flowers for Pets Quietude (Canada),,"Dog, Cat, Horse",Veterinary health product to help maintain emotional balance.,Do not administer directly orally to cats but add to drinking water. Do not use in immature animals or pregnant or lactating females. Remedy of flower essences.,https://www.drugs.com/vet/bach-flowers-for-pets-quietude-can.html
Bag Balm Ointment,,"Dog, Cat, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bag-balm-ointment.html
Bag Balm Pet,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bag-balm-pet.html
Baking Soda & Oatmeal Shampoo,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/baking-soda-oatmeal-shampoo.html
Banex Oral Gel,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/banex-oral-gel.html
Banex Oral Gel with Sorbitol,,"Dog, Cat, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/banex-oral-gel-with-sorbitol.html
Bansect Squeeze-On Flea & Tick Control for Dogs (over 33 lbs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bansect-squeeze-on-flea-tick-control-for-dogs-over-33-lbs.html
Bansect Squeeze-On Flea & Tick Control for Dogs (up to 33 lbs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bansect-squeeze-on-flea-tick-control-for-dogs-up-to-33-lbs.html
Bark 5 (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bark-5-can.html
Barrier for Dogs (10% imidacloprid + 2.5% moxidectin) Topical Solution,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Heartworm-Negative Dogs,https://www.drugs.com/vet/barrier-for-dogs-10-imidacloprid-2-5-moxidectin-topical-solution.html
Barrier II Wound Care Spray,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Store upright at 15°-25° C (59°-77° F). Brief excursions up to 40° C (104° F) are permitted.,https://www.drugs.com/vet/barrier-ii-wound-care-spray.html
Barrier Wound Care Spray,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Store upright at 15°-25° C (59°-77° F). Brief excursions up to 40° C (104° F) are permitted.,https://www.drugs.com/vet/barrier-wound-care-spray.html
Bathless Spray Wash,,"Dog, Cat, Horse, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bathless-spray-wash.html
Baytril (enrofloxacin) Antibacterial Injectable Solution 2.27%,,"Dog, Cat","used to establish the upper limit of the dose range and treatment duration. Storage Protect from direct sunlight. Do not freeze. Store at or below 25°C (77°F), excursions permitted up to 40°C (104°F).",No drug-related side effects were reported in 122 clinical cases treated with Baytril (enrofloxacin) Injectable Solution followed by Baytril Tablets at 5.0 mg/kg per day.,https://www.drugs.com/vet/baytril-enrofloxacin-antibacterial-injectable-solution-2-27.html
Baytril (enrofloxacin) Antibacterial Tablets,,"Dog, Cat",used to establish the upper limit of the dose range for dogs and treatment duration for dogs and cats. Storage Dispense tablets in tight containers only. Baytril Film Coated Tablets should be stored a,"Dogs: Two of the 270 (0.7%) dogs treated with Baytril ® (brand of enrofloxacin) Tablets at 5.0 mg/kg per day in the clinical field studies exhibited side effects, which were apparently drug-related. These two cases of vomition were self-limiting.",https://www.drugs.com/vet/baytril-enrofloxacin-antibacterial-tablets.html
Baytril (enrofloxacin) Taste Tabs Antibacterial Tablets,,"Dog, Cat",used to establish the upper limit of the dose range for dogs and treatment duration for dogs and cats. Storage Dispense tablets in tight containers only. Baytril Tablets should be stored at or below 7,"Dogs: Two of the 270 (0.7%) dogs treated with Baytril (brand of enrofloxacin) Tablets at 5.0 mg/kg per day in the clinical field studies exhibited side effects, which were apparently drug-related. These two cases of vomition were self-limiting.",https://www.drugs.com/vet/baytril-enrofloxacin-taste-tabs-antibacterial-tablets.html
Baytril Flavoured Tablets (15 mg) (Canada),,"Dog, Cat","used to establish the upper limit of the dose range for dogs and treatment duration for dogs and cats. Palatability: In a palatability study in dogs, 58% of flavoured Baytril 50 mg tablets were volunt","Dogs: Two of the 270 (0.7%) dogs treated with Baytril (enrofloxacin flavoured tablets) at 5.0 mg/kg per day in the clinical field studies exhibited side effects, which were apparently drug related. These two cases of vomition were self-limiting.",https://www.drugs.com/vet/baytril-flavoured-tablets-15-mg-can.html
Baytril Flavoured Tablets (150 mg) (Canada),,"Dog, Cat","used to establish the upper limit of the dose range for dogs and treatment duration for dogs and cats. Palatability: In a palatability study in dogs, 58% of flavoured Baytril 50 mg tablets were volunt","Dogs: Two of the 270 (0.7%) dogs treated with Baytril (enrofloxacin flavoured tablets) at 5.0 mg/kg per day in the clinical field studies exhibited side effects, which were apparently drug related. These two cases of vomition were self-limiting.",https://www.drugs.com/vet/baytril-flavoured-tablets-150-mg-can.html
Baytril Flavoured Tablets (50 mg) (Canada),,"Dog, Cat","used to establish the upper limit of the dose range for dogs and treatment duration for dogs and cats. Palatability: In a palatability study in dogs, 58% of flavoured Baytril 50 mg tablets were volunt","Dogs: Two of the 270 (0.7%) dogs treated with Baytril (enrofloxacin flavoured tablets) at 5.0 mg/kg per day in the clinical field studies exhibited side effects, which were apparently drug related. These two cases of vomition were self-limiting.",https://www.drugs.com/vet/baytril-flavoured-tablets-50-mg-can.html
Baytril Injectable Solution (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Post Approval Experience: The following adverse experiences, although rare, are based on voluntary post-approval adverse drug experience reporting. The categories of reactions are listed in decreasing order of frequency by body system.",https://www.drugs.com/vet/baytril-injectable-solution-can.html
Baytril Otic (Canada),,"Dog, Cat",used to determine the susceptibilities of microbes to antimicrobial therapies. Results of agar/broth-dilution assays are reported as a Minimal Inhibitory Concentration (MIC) which represents the lowes,"To report suspected adverse drug events or for technical assistance, contact Elanco Canada Limited at 1-800-265-5475.",https://www.drugs.com/vet/baytril-otic-can.html
Baytril Otic (enrofloxacin/silver sulfadiazine) Antibacterial-Antimycotic Emulsion,,"Dog, Cat",used to determine the susceptibilities of microbes to antimicrobial therapies. Results of agar/broth-dilution assays are reported as a Minimal Inhibitory Concentration (MIC) which represents the lowes,"During clinical trials, 2 of 113 (1.7%) dogs exhibited reactions that may have resulted from treatment with Baytril Otic. Both cases displayed local hypersensitivity responses of the aural epithelium to some component within the Baytril Otic formulation. The reactions were characterized by acute inflammation of the ear canal and pinna.",https://www.drugs.com/vet/baytril-otic-enrofloxacin-silver-sulfadiazine-antibacterial-antimycotic-emulsion.html
Be Green Doktor Doom Premium Food Grade Diatomaceous Earth (Domestic) (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/be-green-doktor-doom-premium-food-grade-diatomaceous-earth-domestic-can.html
Be Green Doktor Doom Premium Fresh Water Diatomaceous Earth Insect Killer (Commercial) (Canada),,"Dog, Cat, Cattle, Pig, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/be-green-doktor-doom-premium-fresh-water-diatomaceous-earth-insect-killer-commercial-can.html
Benasoothe Conditioner,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/benasoothe-conditioner.html
Benasoothe Shampoo,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/benasoothe-shampoo.html
Bene-Bac Plus Pet Gel,,"Dog, Cat, Pig, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bene-bac-plus-pet-gel.html
Bene-Bac Plus Pet Gel (Canada),,"Dog, Cat, Pig, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bene-bac-plus-pet-gel-can.html
Bene-Bac Plus Powder,,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bene-bac-plus-powder.html
Bene-Bac Plus Powder (Canada),,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bene-bac-plus-powder-can.html
Bener ProRed-10,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Always work with your veterinarian for your animal’s optimal health and well-being.,https://www.drugs.com/vet/bener-prored-10.html
Bener ProRed-30,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Always work with your veterinarian for your animal’s optimal health and well-being.,https://www.drugs.com/vet/bener-prored-30.html
Benzoyl Peroxide Creme Rinse,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/benzoyl-peroxide-creme-rinse.html
Benzoyl Peroxide Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/benzoyl-peroxide-shampoo.html
Betacilin Clav Drops,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Betacilin Clav Drops contain a semisynthetic penicillin (amoxicillin) and have the potential for producing allergic reactions.,https://www.drugs.com/vet/betacilin-clav-drops.html
Bio Spot Active Care Carpet & Upholstery Powder,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bio-spot-active-care-carpet-upholstery-powder.html
Bio Spot Active Care Flea & Tick Collar For Dogs and Puppies (Large),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-collar-for-dogs-and-puppies-large.html
Bio Spot Active Care Flea & Tick Collar For Dogs and Puppies (Small),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-collar-for-dogs-and-puppies-small.html
Bio Spot Active Care Flea & Tick Home Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-home-spray.html
Bio Spot Active Care Flea & Tick Shampoo For Dogs & Puppies,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-shampoo-for-dogs-puppies.html
Bio Spot Active Care Flea & Tick Spot On For Dogs (15-30 lbs.) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-spot-on-for-dogs-15-30-lbs-refill-pack.html
Bio Spot Active Care Flea & Tick Spot On For Dogs (15-30 lbs.) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-spot-on-for-dogs-15-30-lbs-with-reusable-applicator.html
Bio Spot Active Care Flea & Tick Spot On For Dogs (31-60 lbs.) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",WARRANTY AND CONDITIONS OF SALE:,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-spot-on-for-dogs-31-60-lbs-refill-pack.html
Bio Spot Active Care Flea & Tick Spot On For Dogs (31-60 lbs.) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-spot-on-for-dogs-31-60-lbs-with-reusable-applicator.html
Bio Spot Active Care Flea & Tick Spot On For Dogs (5-14 lbs.) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-spot-on-for-dogs-5-14-lbs-refill-pack.html
Bio Spot Active Care Flea & Tick Spot On For Dogs (5-14 lbs.) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-spot-on-for-dogs-5-14-lbs-with-reusable-applicator.html
Bio Spot Active Care Flea & Tick Spot On For Dogs (61-150 lbs.) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",WARRANTY AND CONDITIONS OF SALE:,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-spot-on-for-dogs-61-150-lbs-refill-pack.html
Bio Spot Active Care Flea & Tick Spot On For Dogs (61-150 lbs.) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-spot-on-for-dogs-61-150-lbs-with-reusable-applicator.html
Bio Spot Active Care Flea & Tick Spray For Dogs & Puppies,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bio-spot-active-care-flea-tick-spray-for-dogs-puppies.html
Bio Spot Active Care Yard & Garden Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bio-spot-active-care-yard-garden-spray.html
Bio-C,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bio-c.html
Bio-C (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/bio-c-can.html
BioCalm Spray,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",AVAILABLE THROUGH LICENSED VETERINARIANS ONLY,https://www.drugs.com/vet/biocalm-spray.html
BioFlex Active,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","The safe use of BioFlex™ ACTIVE Soft Chews in dogs intended for breeding and in pregnant or lactating dogs has not been evaluated. Consult with your veterinarian before using this product in animals with concomitant chronic disorders that require treatment. If the condition worsens, discontinue use and contact your veterinarian.",https://www.drugs.com/vet/bioflex-active.html
Bioflex Active (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bioflex-active-can.html
BioFlex Ultra,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","The safe use of BioFlex ULTRA Soft Chews in dogs intended for breeding and in pregnant or lactating dogs has not been evaluated. Consult with your veterinarian before using this product in animals with concomitant chronic disorders that require treatment. If the condition worsens, discontinue use and contact your veterinarian.",https://www.drugs.com/vet/bioflex-ultra.html
Bioflex Ultra (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bioflex-ultra-can.html
BioFlexa I,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Ester-C ® is a registered trademark of the Ester-C Company,https://www.drugs.com/vet/bioflexa-i.html
BioFlexa II,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Ester-C ® is a registered trademark of the Ester-C Company,https://www.drugs.com/vet/bioflexa-ii.html
BioFlexa II Low Allergen Formula,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Ester-C ® is a registered trademark of the Ester-C Company,https://www.drugs.com/vet/bioflexa-ii-low-allergen-formula.html
BioFlexa III,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Ester-C ® is a registered trademark of the Ester-C Company,https://www.drugs.com/vet/bioflexa-iii.html
BioHAnce 0.40% Dry Eye Gel Drops,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",For product support or to report an adverse reaction call 833-224-2015.,https://www.drugs.com/vet/biohance-0-40-dry-eye-gel-drops.html
BioSeb Mousse,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",AVAILABLE THROUGH LICENSED VETERINARIANS ONLY,https://www.drugs.com/vet/bioseb-mousse.html
BioSeb Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",AVAILABLE THROUGH LICENSED VETERINARIANS ONLY,https://www.drugs.com/vet/bioseb-shampoo.html
BioSentry 904 Disinfectant,,"Dog, Cat, Horse, Cattle, Sheep, Goat, Poultry","used to remove litter and manure. Thoroughly scrub all treated surfaces, then rinse all surfaces that come in contact with food, including equipment used for feeding or watering, with potable water be",,https://www.drugs.com/vet/biosentry-904-disinfectant.html
BioSentry 904 Disinfectant (Canada),,"Dog, Cat, Horse, Cattle, Sheep, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",KEEP OUT OF REACH OF CHILDREN.,https://www.drugs.com/vet/biosentry-904-disinfectant-can.html
BioSentry Acid-A-Foam (Canada),,"Dog, Cat, Horse, Cattle, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/biosentry-acid-a-foam-can.html
BioSentry BioPhene II,,"Dog, Cat, Horse, Cattle, Sheep, Goat, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/biosentry-biophene-ii.html
BioSentry BioPhene Spray Disinfectant,,"Dog, Cat, Horse",used to preclean or decontaminate critical or semi-critical medical devices prior to sterilization or high-level disinfection. Kills *HIV-1 (AIDS VIRUS) on precleaned environmental surfaces/objects pr,,https://www.drugs.com/vet/biosentry-biophene-spray-disinfectant.html
BioSentry BioQuat 20 Disinfectant (Canada),,"Dog, Cat, Horse, Cattle, Poultry","used to preclean or decontaminate critical or semi-critical devices prior to sterilization or high-level disinfection. HOSPITAL, VETERINARY CLINIC, COMMERCIAL AND INDUSTRIAL DISINFECTION: (4 ml / litr",,https://www.drugs.com/vet/biosentry-bioquat-20-disinfectant-can.html
BioSentry Universal Barn Cleaner (Canada),,"Dog, Cat, Horse, Cattle, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/biosentry-universal-barn-cleaner-can.html
BioSON (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bioson-can.html
BioSURF (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/biosurf-can.html
